"menu_id","rtr_id","item_name","item_price"
"1","1","Margherita Pizza","8.99"
"2","1","Pepperoni Pizza","9.99"
"3","1","BBQ Chicken Pizza","10.99"
"4","1","Vegetarian Pizza","9.49"
"5","1","Four Cheese Pizza","10.49"
"6","1","Garlic Bread","4.99"
"7","1","Tiramisu","6.99"
"8","1","Caesar Salad","7.99"
"9","1","Spaghetti Bolognese","12.99"
"10","1","Lasagna","11.99"
"11","2","California Roll","9.99"
"12","2","Spicy Tuna Roll","10.49"
"13","2","Salmon Sashimi","12.99"
"14","2","Eel Nigiri","11.99"
"15","2","Shrimp Tempura","8.99"
"16","2","Miso Soup","4.99"
"17","2","Edamame","3.99"
"18","2","Seaweed Salad","6.99"
"19","2","Dragon Roll","13.49"
"20","2","Rainbow Roll","14.99"
"21","3","Classic Cheeseburger","8.99"
"23","3","Mushroom Swiss Burger","10.49"
"24","3","Veggie Burger","8.49"
"25","3","Chicken Sandwich","7.99"
"26","3","French Fries","3.99"
"27","3","Onion Rings","4.49"
"28","3","Milkshake","5.99"
"29","3","Double Cheeseburger","11.49"
"30","3","BBQ Burger","10.99"
"31","4","Beef Taco","3.99"
"32","4","Chicken Taco","3.99"
"33","4","Fish Taco","4.49"
"34","4","Veggie Taco","3.49"
"35","4","Nachos","7.99"
"36","4","Burrito","8.99"
"37","4","Quesadilla","7.49"
"38","4","Churros","4.99"
"39","4","Guacamole","3.99"
"40","4","Taco Salad","9.49"
"41","5","Spaghetti Carbonara","11.99"
"42","5","Penne Alfredo","10.99"
"43","5","Fettuccine Primavera","12.49"
"44","5","Ravioli","13.49"
"45","5","Garlic Bread","3.99"
"46","5","Bruschetta","5.49"
"47","5","Caesar Salad","7.49"
"48","5","Caprese Salad","8.99"
"49","5","Gnocchi","12.99"
"50","5","Tiramisu","6.49"
"51","6","Chicken Tikka Masala","13.99"
"52","6","Butter Chicken","12.99"
"53","6","Paneer Butter Masala","11.99"
"54","6","Lamb Rogan Josh","14.99"
"55","6","Vegetable Curry","10.99"
"56","6","Naan","2.99"
"57","6","Basmati Rice","3.99"
"58","6","Samosas","4.99"
"59","6","Mango Lassi","3.99"
"60","6","Gulab Jamun","5.99"
"61","7","Ribeye Steak","24.99"
"62","7","Filet Mignon","29.99"
"63","7","T-Bone Steak","27.99"
"64","7","Grilled Salmon","22.99"
"65","7","Baked Potato","4.99"
"66","7","Steamed Vegetables","3.99"
"67","7","House Salad","6.99"
"68","7","Garlic Bread","3.99"
"69","7","Cheesecake","7.99"
"70","7","Chocolate Lava Cake","8.99"
"71","8","Chocolate Cake","5.99"
"72","8","Cheesecake","6.99"
"73","8","Tiramisu","6.49"
"74","8","Ice Cream Sundae","4.99"
"75","8","Brownie","5.49"
"76","8","Macarons","7.99"
"77","8","Creme Brulee","8.49"
"78","8","Apple Pie","4.99"
"79","8","Banoffee Pie","5.99"
"80","8","Mousse","6.99"
"81","9","Vegan Burger","9.99"
"82","9","Tofu Stir Fry","10.99"
"83","9","Quinoa Salad","8.49"
"84","9","Lentil Soup","7.49"
"85","9","Avocado Toast","6.99"
"86","9","Hummus Plate","5.99"
"87","9","Vegan Brownie","4.49"
"88","9","Fruit Bowl","5.99"
"89","9","Smoothie Bowl","8.99"
"90","9","Vegan Cheesecake","7.99"
"91","10","Pulled Pork Sandwich","9.99"
"92","10","BBQ Ribs","14.99"
"93","10","Brisket","12.99"
"94","10","Chicken Wings","8.99"
"95","10","Cornbread","3.99"
"96","10","Mac and Cheese","5.99"
"97","10","Coleslaw","3.99"
"98","10","Potato Salad","4.49"
"99","10","BBQ Sauce Sampler","2.99"
"100","10","Pecan Pie","6.99"
"101","1","Chicken Alfredo","15.99"
"102","2","New York Roll","11.99"
"103","2","Side of Rice","4.99"
"105","1","Pasta","10.99"
"107","1","New Test Item","15.99"
"118","3","Bacon Cheeseburger","10.99"
